Jurisdiction,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
U.S. total,175,137,111,113,108,90,105,91,91,98,78,68,49,48,30,33,33
Federal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,175,137,111,113,108,90,105,91,91,98,78,68,49,48,30,33,33
Alabama,1,1,1,0,0,1,3,2,0,4,0,0,1,2,0,0,0
Alaska,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Arizona,2,4,1,4,1,1,1,4,2,8,8,11,8,3,1,2,2
Arkansas,0,0,1,1,0,0,0,0,0,0,1,0,2,1,0,0,0
California,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,3,3,1,5,4,6,4,2,1,0,0,2,0,0,0,0,0
Connecticut,17,21,13,20,24,20,20,27,26,22,6,5,4,2,1,0,2
Delaware,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,25,29,20,13,5,7,11,0,6,9,14,9,11,8,4,3,5
Georgia,3,2,2,2,5,4,4,5,5,5,2,3,1,5,2,5,3
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Illinois,3,2,2,6,4,1,8,0,3,1,1,1,0,1,1,0,0
Indiana,6,1,1,0,3,1,2,1,1,0,1,2,1,2,2,1,2
Iowa,0,1,1,3,1,0,0,0,0,0,0,1,0,0,1,0,0
Kansas,4,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,1,1,1,0,0,0,0,0,1,1,0,6,0,0,0,0,0
Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,3,2,0,1,0,4,2,3,1,1,3,3,1,4,4,0,1
Massachusetts,14,6,2,1,2,0,1,1,1,3,2,1,0,1,0,0,0
Michigan,8,5,3,3,5,2,0,5,3,3,3,0,2,1,1,1,1
Minnesota,8,1,1,2,1,0,0,0,0,2,3,0,0,0,0,0,0
Mississippi,3,4,3,2,4,0,1,1,1,1,1,0,0,0,0,0,0
Missouri,4,1,3,1,2,1,1,4,1,1,1,0,0,0,1,0,0
Montana,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Nebraska,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0
Nevada,1,1,3,1,1,0,0,0,3,3,1,1,0,0,0,0,0
New Hampshire,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
New Jersey,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
New Mexico,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
New York,12,8,8,14,4,7,8,5,4,6,4,3,4,4,3,2,2
North Carolina,9,9,9,5,9,5,12,9,8,9,7,5,4,4,3,5,4
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,2,1,1,1,2,2,1,0,2,2,2,0,0,3,1,1,0
Oklahoma,1,0,1,1,2,0,1,0,0,2,1,2,2,1,0,1,0
Oregon,0,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0
Pennsylvania,3,1,1,1,1,0,2,2,2,2,2,2,1,0,0,1,1
Rhode Island,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,4,3,7,9,4,7,8,3,3,1,4,0,1,1,1,1,1
South Dakota,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Tennessee,2,6,1,2,0,0,0,0,1,2,1,0,0,1,0,0,0
Texas,10,5,10,9,9,12,6,9,6,4,6,7,5,2,3,7,5
Utah,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Vermont,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0
Virginia,4,3,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Washington,4,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,8,7,5,5,4,2,3,5,7,0,1,1,0,1,1,3,4
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
