Jurisdiction,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
U.S. total,3892,3129,3038,2740,2477,2208,2364,2283,2717,2743,2295,1790,1325,1188,1035,993,956
State,3892,3129,3038,2740,2477,2208,2364,2283,2717,2743,2295,1790,1325,1188,1035,993,956
Alabama,117,77,57,50,25,34,70,108,123,118,29,21,88,41,0,14,27
Alaska,9,16,8,18,13,10,4,10,10,7,7,0,0,0,0,0,4
Arizona,152,142,147,116,98,78,112,129,156,157,131,94,69,58,56,81,76
Arkansas,51,38,31,28,15,19,17,19,17,17,9,6,17,14,11,15,17
California,106,95,112,147,123,5,0,0,0,0,0,0,0,0,0,0,0
Colorado,87,65,63,50,46,38,33,37,37,43,38,19,7,1,3,2,4
Connecticut,382,330,366,300,321,383,425,444,375,332,217,143,106,88,84,84,63
Delaware,19,26,25,28,27,26,23,28,25,28,17,11,12,7,3,8,12
Florida,466,395,306,298,214,185,221,0,301,393,355,209,196,144,126,131,143
Georgia,129,59,39,65,82,75,61,65,118,99,96,90,93,92,96,80,67
Hawaii,1,3,3,1,0,1,1,1,0,2,0,0,0,0,0,0,0
Idaho,4,8,5,2,0,3,3,1,0,0,1,0,0,17,0,1,0
Illinois,145,110,111,102,110,82,103,0,77,106,73,72,0,68,18,20,3
Indiana,84,66,42,24,21,18,29,52,63,54,49,35,27,32,42,34,25
Iowa,28,19,13,18,12,15,17,15,16,13,13,13,8,15,5,5,7
Kansas,23,13,12,7,1,10,13,10,4,5,10,5,4,0,1,0,0
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
Louisiana,40,34,56,12,8,10,9,11,26,15,22,178,38,23,18,11,11
Maine,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Maryland,93,57,80,64,63,51,68,38,61,58,57,39,24,22,22,4,9
Massachusetts,50,17,11,5,6,3,4,4,3,8,3,3,1,3,0,0,0
Michigan,101,53,106,107,84,98,112,149,140,132,109,106,91,73,90,88,85
Minnesota,24,14,14,20,22,16,11,10,13,13,32,5,7,13,10,10,8
Mississippi,138,90,107,82,74,55,38,72,39,28,25,23,8,8,19,27,24
Missouri,79,50,56,35,36,21,38,21,26,31,22,19,8,13,12,10,7
Montana,1,0,0,1,3,2,1,3,8,2,0,0,0,1,1,0,0
Nebraska,44,24,17,13,15,16,8,13,15,21,23,19,9,15,22,10,4
Nevada,91,67,54,17,28,16,0,47,118,118,34,61,0,0,9,9,15
New Hampshire,0,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
New Jersey,20,28,18,11,21,28,17,21,19,21,18,7,7,8,7,5,3
New Mexico,1,9,7,5,13,2,0,0,1,3,2,2,0,0,0,0,0
New York,264,254,210,231,225,223,219,248,206,190,221,182,136,131,97,89,68
North Carolina,263,212,200,178,192,169,188,161,186,215,184,115,119,68,85,72,72
North Dakota,7,2,1,2,1,4,1,0,0,0,0,0,0,0,0,0,0
Ohio,106,81,83,68,56,51,64,93,75,86,78,59,30,20,24,29,30
Oklahoma,17,9,10,12,4,10,5,6,7,19,17,17,16,4,7,9,4
Oregon,14,11,24,6,6,6,6,,8,13,8,1,0,0,0,0,0
Pennsylvania,69,55,43,50,40,31,38,60,55,61,58,43,22,28,29,17,29
Rhode Island,4,3,5,3,5,4,5,5,10,1,1,0,0,0,2,0,0
South Carolina,131,133,140,140,114,120,129,123,96,89,106,44,32,27,24,29,42
South Dakota,8,4,3,1,1,2,1,5,0,1,1,0,0,0,0,0,0
Tennessee,22,41,16,18,13,8,14,25,14,22,29,11,19,8,13,7,8
Texas,263,208,230,218,210,167,162,150,157,156,150,104,86,69,69,48,45
Utah,8,8,7,5,9,7,1,5,5,6,3,1,2,1,1,1,0
Vermont,12,8,1,7,7,5,5,6,8,4,3,1,2,2,0,0,0
Virginia,38,31,42,40,33,27,31,30,45,16,11,2,3,9,9,6,5
Washington,82,66,56,47,16,3,0,3,3,2,1,1,24,24,1,0,0
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,96,92,87,80,63,66,53,54,47,37,30,28,13,27,18,37,37
Wyoming,2,2,11,6,0,4,3,1,4,1,2,1,0,0,1,0,2
