Jurisdiction,Rate,Operational,Design,Custody population,Year
Federal,127647,,,176228,2011
Alabama,,26339,13403,26268,2011
Alaska,3058,3206,,3708,2011
Arizona,37239,42433,37239,33492,2011
Arkansas,14041,14041,13477,14090,2011
California,,,84130,138274,2011
Colorado,,14835,13784,17559,2011
Connecticut,,,,17022,2011
Delaware,5782,5210,4161,6546,2011
Florida,,112768,,100861,2011
Georgia,60608,55122,,52844,2011
Hawaii,,3327,2291,3687,2011
Idaho,7028,6677,7028,7470,2011
Illinois,33703,33703,29794,48427,2011
Indiana,,30524,,24450,2011
Iowa,,,7794,9115,2011
Kansas,9180,9033,9164,9256,2011
Kentucky,13462,13462,13807,11951,2011
Louisiana,18843,18840,,18844,2011
Maine,2339,2133,2339,1978,2011
Maryland,,23981,,22923,2011
Massachusetts,,,8029,11467,2011
Michigan,44400,43680,,42904,2011
Minnesota,,9099,,9309,2011
Mississippi,,24075,,15390,2011
Missouri,,31331,,30969,2011
Montana,,1679,,1707,2011
Nebraska,,3969,3175,4657,2011
Nevada,,,,12159,2011
New Hampshire,,2423,2190,2423,2011
New Jersey,,21640,15828,20755,2011
New Mexico,6192,7108,7108,3834,2011
New York,53387,54289,52738,55196,2011
North Carolina,,39066,33483,39662,2011
North Dakota,1044,991,1044,1385,2011
Ohio,,,,47957,2011
Oklahoma,18607,18607,18607,17724,2011
Oregon,,,14362,13728,2011
Pennsylvania,48376,48376,48376,48515,2011
Rhode Island,3869,3654,3859,3032,2011
South Carolina,,24361,,22343,2011
South Dakota,,3508,,3551,2011
Tennessee,20623,20177,,14684,2011
Texas,166631,160134,166631,141353,2011
Utah,,6961,7201,5294,2011
Vermont,1662,1662,1322,1531,2011
Virginia,32154,,,28962,2011
Washington,16282,16979,16979,17109,2011
West Virginia,4363,5185,4363,5149,2011
Wisconsin,,,17210,22381,2011
Wyoming,2577,2577,2221,1917,2011
Federal,128615,,,176658,2012
Alabama,,26339,13403,26230,2012
Alaska,3058,3206,,4575,2012
Arizona,36681,41770,36681,33578,2012
Arkansas,14407,14462,13863,14043,2012
California,,,84130,123090,2012
Colorado,,14221,13178,16389,2012
Connecticut,,,,16347,2012
Delaware,5669,5210,4161,6730,2012
Florida,,113874,,99835,2012
Georgia,61184,56064,,55178,2012
Hawaii,,3327,2291,3661,2012
Idaho,,7270,7442,7715,2012
Illinois,33804,52159,33804,49348,2012
Indiana,,29683,,23783,2012
Iowa,,,7209,8735,2012
Kansas,9180,9233,9164,9422,2012
Kentucky,12982,13212,13807,12186,2012
Louisiana,18599,18858,,18601,2012
Maine,2339,2133,2339,1977,2012
Maryland,,24554,,21783,2012
Massachusetts,,,8029,11127,2012
Michigan,45116,44284,,43594,2012
Minnesota,,9099,,9421,2012
Mississippi,,25611,,15791,2012
Missouri,,31386,,31205,2012
Montana,3378,,,1677,2012
Nebraska,,3969,3175,4721,2012
Nevada,,11432,,12594,2012
New Hampshire,,2568,2190,2568,2012
New Jersey,20256,21119,22728,20333,2012
New Mexico,6192,7111,7111,3641,2012
New York,53164,54066,52587,54058,2012
North Carolina,,36670,31304,37378,2012
North Dakota,1044,991,1044,1413,2012
Ohio,34857,,,45529,2012
Oklahoma,18130,,,17947,2012
Oregon,,,14362,14123,2012
Pennsylvania,48579,48579,48579,49009,2012
Rhode Island,3989,3774,3973,3042,2012
South Carolina,,24031,,21867,2012
South Dakota,,3676,,3582,2012
Tennessee,20762,20241,,14652,2012
Texas,166298,159816,166298,136578,2012
Utah,,7030,7270,5309,2012
Vermont,1681,1681,1322,1530,2012
Virginia,30712,,,28149,2012
Washington,16421,15948,,16919,2012
West Virginia,4560,5390,4560,5335,2012
Wisconsin,,,17136,22401,2012
Wyoming,2288,2288,2407,1951,2012
Federal,130907,,,174242,2013
Alabama,,26145,13318,26271,2013
Alaska,,,,5054,2013
Arizona,36681,42025,36681,34626,2013
Arkansas,14424,14479,13885,14295,2013
California,,,86054,122798,2013
Colorado,,14089,14528,16286,2013
