Jurisdiction,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,2016.00
U.S. total,131.00,133.00,138.00,153.00,170.00,179.00,187.00,201.00,216.00,230.00,246.00,274.00,295.00,311.00,330.00,360.00,389.00,411.00,427.00,444.00,463.00,476.00,470.00,470.00,477.00,483.00,487.00,492.00,501.00,506.00,506.00,504.00,500.00,492.00,480.00,477.00,471.00,459.00,450.00
Federal,12.00,10.00,9.00,10.00,10.00,11.00,12.00,14.00,15.00,16.00,17.00,19.00,20.00,22.00,26.00,29.00,31.00,32.00,33.00,35.00,38.00,42.00,44.00,48.00,49.00,52.00,54.00,56.00,58.00,59.00,60.00,61.00,61.00,63.00,62.00,61.00,60.00,55.00,53.00
State,119.00,123.00,129.00,144.00,160.00,167.00,175.00,187.00,201.00,214.00,228.00,255.00,275.00,289.00,304.00,331.00,358.00,379.00,393.00,409.00,424.00,434.00,426.00,422.00,428.00,431.00,433.00,436.00,443.00,447.00,447.00,443.00,439.00,429.00,417.00,416.00,411.00,403.07,396.75
Alabama,144.00,141.00,163.00,184.00,219.00,245.00,259.00,271.00,288.00,314.00,307.00,337.00,379.00,400.00,408.00,431.00,448.00,468.00,487.00,496.00,504.00,544.00,585.00,586.00,616.00,607.00,560.00,594.00,599.00,617.00,635.00,652.00,642.00,650.00,650.00,647.00,634.00,612.47,570.68
Alaska,122.00,132.00,141.00,170.00,194.00,219.00,252.00,287.00,306.00,328.00,344.00,349.00,335.00,323.00,330.00,451.00,321.00,338.00,384.00,419.00,410.00,372.00,339.00,347.00,401.00,404.00,398.00,415.00,460.00,450.00,431.00,359.00,389.00,399.00,405.00,364.00,281.00,305.59,281.23
Arizona,137.00,142.00,159.00,185.00,209.00,227.00,249.00,260.00,273.00,307.00,328.00,351.00,374.00,392.00,405.00,422.00,448.00,458.00,469.00,472.00,481.00,477.00,492.00,499.00,514.00,532.00,540.00,526.00,542.00,558.00,572.00,584.00,599.00,589.00,583.00,584.00,592.00,595.60,585.04
Arkansas,115.00,131.00,127.00,145.00,171.00,184.00,193.00,198.00,202.00,232.00,236.00,279.00,309.00,324.00,339.00,325.00,354.00,336.00,350.00,382.00,402.00,427.00,442.00,464.00,481.00,487.00,498.00,482.00,487.00,503.00,511.00,524.00,553.00,545.00,494.00,579.00,599.00,591.78,583.15
California,86.00,91.00,98.00,115.00,135.00,150.00,161.00,183.00,213.00,233.00,259.00,289.00,314.00,323.00,340.00,370.00,386.00,416.00,446.00,470.00,482.00,479.00,472.00,456.00,459.00,461.00,464.00,472.00,483.00,477.00,472.00,460.00,440.00,393.00,351.00,352.00,348.00,330.20,330.96
Colorado,89.00,93.00,90.00,93.00,99.00,104.00,102.00,106.00,118.00,147.00,177.00,211.00,232.00,248.00,257.00,262.00,288.00,289.00,317.00,335.00,348.00,371.00,389.00,394.00,418.00,432.00,441.00,460.00,473.00,472.00,472.00,454.00,452.00,427.00,392.00,383.00,382.00,364.69,355.86
Connecticut,60.00,69.00,88.00,107.00,100.00,113.00,118.00,126.00,134.00,143.00,144.00,192.00,236.00,260.00,266.00,318.00,317.00,313.00,341.00,356.00,362.00,385.00,386.00,387.00,408.00,392.00,381.00,377.00,394.00,413.00,407.00,383.00,372.00,350.00,333.00,338.00,326.00,313.31,289.78
Delaware,168.00,182.00,183.00,209.00,253.00,261.00,253.00,285.00,312.00,339.00,341.00,347.00,335.00,362.00,389.00,394.00,396.00,413.00,421.00,434.00,421.00,481.00,501.00,508.00,455.00,506.00,494.00,473.00,492.00,486.00,464.00,449.00,440.00,439.00,448.00,442.00,440.00,441.64,428.03
District of Columbia,378.00,396.00,427.00,460.00,528.00,548.00,587.00,726.00,750.00,881.00,1051.00,1065.00,1123.00,1183.00,1260.00,1496.00,1712.00,1558.00,1514.00,1647.00,1441.00,1180.00,1382.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Florida,233.00,205.00,205.00,228.00,259.00,236.00,242.00,251.00,276.00,270.00,282.00,316.00,341.00,348.00,354.00,380.00,401.00,439.00,429.00,425.00,434.00,442.00,444.00,443.00,451.00,483.00,492.00,505.00,513.00,537.00,556.00,561.00,554.00,537.00,524.00,522.00,512.00,496.35,480.83
Georgia,205.00,216.00,217.00,222.00,248.00,261.00,250.00,258.00,260.00,285.00,285.00,306.00,333.00,346.00,364.00,388.00,454.00,466.00,458.00,466.00,493.00,522.00,536.00,545.00,552.00,540.00,573.00,536.00,566.00,569.00,543.00,565.00,563.00,547.00,542.00,532.00,517.00,504.08,511.99
Hawaii,52.00,57.00,65.00,77.00,91.00,105.00,129.00,137.00,145.00,143.00,140.00,161.00,153.00,155.00,192.00,199.00,201.00,216.00,245.00,285.00,302.00,315.00,293.00,301.00,313.00,336.00,333.00,349.00,343.00,342.00,334.00,318.00,289.00,282.00,273.00,256.00,257.00,264.11,253.74
Idaho,88.00,89.00,86.00,99.00,107.00,121.00,126.00,135.00,146.00,146.00,160.00,186.00,194.00,206.00,211.00,235.00,245.00,283.00,319.00,318.00,326.00,380.00,426.00,453.00,428.00,421.00,458.00,478.00,486.00,488.00,477.00,479.00,473.00,487.00,499.00,507.00,489.00,434.89,434.79
Illinois,94.00,99.00,94.00,122.00,122.00,136.00,150.00,163.00,171.00,174.00,185.00,217.00,240.00,252.00,271.00,292.00,307.00,314.00,321.00,335.00,351.00,361.00,364.00,355.00,340.00,345.00,348.00,354.00,355.00,354.00,354.00,350.00,377.00,376.00,383.00,377.00,375.00,360.62,341.25
Indiana,81.00,96.00,114.00,138.00,152.00,165.00,166.00,179.00,183.00,194.00,205.00,221.00,227.00,242.00,243.00,250.00,257.00,274.00,284.00,298.00,317.00,319.00,325.00,341.00,350.00,372.00,385.00,390.00,413.00,427.00,443.00,448.00,432.00,443.00,440.00,454.00,443.00,412.67,384.07
Iowa,67.00,78.00,85.00,92.00,98.00,98.00,99.00,95.00,99.00,103.00,110.00,129.00,143.00,148.00,160.00,173.00,191.00,206.00,220.00,240.00,255.00,248.00,272.00,272.00,287.00,291.00,290.00,296.00,298.00,293.00,293.00,293.00,308.00,295.00,282.00,279.00,282.00,281.77,286.26
Kansas,100.00,98.00,105.00,116.00,128.00,153.00,175.00,195.00,220.00,236.00,236.00,227.00,233.00,236.00,238.00,224.00,247.00,271.00,297.00,300.00,308.00,320.00,310.00,318.00,329.00,335.00,328.00,331.00,320.00,313.00,305.00,307.00,317.00,324.00,325.00,328.00,329.00,329.43,330.93
